App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
BLW Baby Introdução Alimentar,6758321287,iphone,blw,br,🇧🇷 Brazil,head term — BLW é acrônimo já adotado no PT-BR,,,,,,,blw;short;own+competitor
BLW Baby Introdução Alimentar,6758321287,iphone,blw bebê,br,🇧🇷 Brazil,combo natural — competitors usam,,,,,,,blw;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,blw receitas,br,🇧🇷 Brazil,BLW Brasil descrição: receitas + cardápios,,,,,,,blw;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,blw método,br,🇧🇷 Brazil,BLW Brasil promove 'método BLW',,,,,,,blw;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,blw cortes,br,🇧🇷 Brazil,Mundo BLW: cortes corretos e seguros,,,,,,,blw;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,blw tradicional,br,🇧🇷 Brazil,Pippin: BLW e tradicional (ambas abordagens),,,,,,,blw;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,blw 6 meses,br,🇧🇷 Brazil,phase + method combo,,,,,,,blw;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,blw caseiro,br,🇧🇷 Brazil,diferencia de papinha industrial,,,,,,,blw;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,blw segurança,br,🇧🇷 Brazil,Mundo BLW angle de segurança,,,,,,,blw;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,mundo blw,br,🇧🇷 Brazil,brand search — captura intent do Mundo BLW,,,,,,,competitor_brand;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar,br,🇧🇷 Brazil,head term — já no nosso name,,,,,,,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,introducao alimentar,br,🇧🇷 Brazil,variante sem cedilha — example.csv mostra pop=40 diff=21 rank=21 (sweet spot),,,,,,,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar bebê,br,🇧🇷 Brazil,natural query expansion,,,,,,,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar 6 meses,br,🇧🇷 Brazil,phase-specific long-tail,,,,,,,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar blw,br,🇧🇷 Brazil,method+intent combo,,,,,,,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,começar introdução alimentar,br,🇧🇷 Brazil,user intent: just started,,,,,,,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,guia introdução alimentar,br,🇧🇷 Brazil,Mundo BLW phrase: guia,,,,,,,intro_alimentar;long;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,acompanhar introdução alimentar,br,🇧🇷 Brazil,tracker intent verb,,,,,,,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,primeiros alimentos,br,🇧🇷 Brazil,Pippin usa esse termo,,,,,,,intro_alimentar;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,primeiros alimentos bebê,br,🇧🇷 Brazil,expanded form,,,,,,,intro_alimentar;long;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,transição alimentar bebê,br,🇧🇷 Brazil,termo nutricional formal,,,,,,,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,papinha,br,🇧🇷 Brazil,head term BR-forte,,,,,,,papinha;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,papinha bebê,br,🇧🇷 Brazil,expansão natural,,,,,,,papinha;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,papinha 6 meses,br,🇧🇷 Brazil,BR-specific phase combo,,,,,,,papinha;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,papinha caseira,br,🇧🇷 Brazil,diferencia de industrial,,,,,,,papinha;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,papinha salgada,br,🇧🇷 Brazil,tipo específico — meal-time,,,,,,,papinha;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,papinha doce,br,🇧🇷 Brazil,tipo específico — fruta/sobremesa,,,,,,,papinha;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,primeira papinha,br,🇧🇷 Brazil,user moment-of-need,,,,,,,papinha;short;own
