App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
BLW Baby Introdução Alimentar,6758321287,iphone,beb,br,🇧🇷 Brazil,verbatim from current keywords.txt,,,,,,,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,alimentação,br,🇧🇷 Brazil,verbatim from current keywords.txt,,,,,,,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,receitas bebê,br,🇧🇷 Brazil,verbatim from current keywords.txt,,,,,,,recipes;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,primeiro alimento,br,🇧🇷 Brazil,verbatim from current keywords.txt,,,,,,,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,diário alimentar,br,🇧🇷 Brazil,verbatim from current keywords.txt,,,,,,,tracker;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,tracker,br,🇧🇷 Brazil,verbatim from current keywords.txt,,,,,,,tracker;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,comida saudável,br,🇧🇷 Brazil,verbatim from current keywords.txt,,,,,,,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,maternidade,br,🇧🇷 Brazil,verbatim from current keywords.txt,,,,,,,audience;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,blw,br,🇧🇷 Brazil,1-gram from current name.txt,,,,,,,blw;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,baby,br,🇧🇷 Brazil,1-gram from current name.txt,,,,,,,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,introdução,br,🇧🇷 Brazil,1-gram from current name.txt,,,,,,,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,alimentar,br,🇧🇷 Brazil,1-gram from current name.txt,,,,,,,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,comida,br,🇧🇷 Brazil,1-gram from current subtitle.txt,,,,,,,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,bebê,br,🇧🇷 Brazil,1-gram from current subtitle.txt,,,,,,,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,meses,br,🇧🇷 Brazil,1-gram from current subtitle.txt,,,,,,,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,diário,br,🇧🇷 Brazil,1-gram from current subtitle.txt,,,,,,,tracker;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,blw baby,br,🇧🇷 Brazil,2-gram from current name.txt,,,,,,,blw;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,baby introdução,br,🇧🇷 Brazil,2-gram from current name.txt,,,,,,,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar,br,🇧🇷 Brazil,2-gram from current name.txt,,,,,,,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,comida bebê,br,🇧🇷 Brazil,2-gram from current subtitle.txt,,,,,,,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,bebê 6,br,🇧🇷 Brazil,2-gram from current subtitle.txt,,,,,,,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,6 meses,br,🇧🇷 Brazil,2-gram from current subtitle.txt,,,,,,,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,meses diário,br,🇧🇷 Brazil,2-gram from current subtitle.txt,,,,,,,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,blw baby introdução,br,🇧🇷 Brazil,3-gram from current name.txt,,,,,,,blw;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,baby introdução alimentar,br,🇧🇷 Brazil,3-gram from current name.txt,,,,,,,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,comida bebê 6,br,🇧🇷 Brazil,3-gram from current subtitle.txt,,,,,,,food;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,bebê 6 meses,br,🇧🇷 Brazil,3-gram from current subtitle.txt,,,,,,,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,6 meses diário,br,🇧🇷 Brazil,3-gram from current subtitle.txt,,,,,,,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar blw,br,🇧🇷 Brazil,cross-field composition (Apple substring matching),,,,,,,blw;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,comida bebê 6 meses,br,🇧🇷 Brazil,cross-field composition (Apple substring matching),,,,,,,intro_alimentar;long;own
