App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
BLW Baby Led Weaning Tracker,6758321287,iphone,first 100 foods,us,🇺🇸 United States,Feature: jornada 100 primeiros alimentos (convenção Solid Starts),2026-08-06,OUT,,5,11,249,intro_alimentar;long;competitor
BLW Baby Led Weaning Tracker,6758321287,iphone,100 first foods,us,🇺🇸 United States,Feature: variação da jornada 100 alimentos,2026-08-06,OUT,,5,11,249,intro_alimentar;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby food diary,us,🇺🇸 United States,Feature: diário alimentar (tab principal),2026-08-06,OUT,,5,11,249,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby food log,us,🇺🇸 United States,Feature: registro de alimentos,2026-08-06,127,,5,43,249,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby feeding tracker,us,🇺🇸 United States,Feature: tracker de refeições,2026-08-06,162,,6,68,248,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby meal tracker,us,🇺🇸 United States,Feature: tracker de refeições,2026-08-06,193,,5,56,250,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,solid food tracker,us,🇺🇸 United States,Feature: tracker de sólidos,2026-08-06,OUT,,5,13,250,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,solids tracker,us,🇺🇸 United States,Feature: tracker de sólidos (curto),2026-08-06,OUT,,5,17,250,tracker;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,allergen tracker,us,🇺🇸 United States,Feature: rastreio de alérgenos por exposição,2026-08-06,OUT,,5,41,250,safety;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby allergy tracker,us,🇺🇸 United States,Feature: rastreio de alergia do bebê,2026-08-06,OUT,,5,21,245,safety;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,allergy log baby,us,🇺🇸 United States,Feature: log de reações,2026-08-06,121,,5,5,247,safety;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,peanut introduction,us,🇺🇸 United States,Feature: introdução precoce de amendoim (guia),2026-08-06,OUT,,5,5,11,safety;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,allergen introduction,us,🇺🇸 United States,Feature/copy Solid Starts print: Allergen Introduction Guide,2026-08-06,OUT,,5,11,249,safety;short;competitor
BLW Baby Led Weaning Tracker,6758321287,iphone,baby food allergies,us,🇺🇸 United States,Demanda de segurança do público,2026-08-06,208,,5,7,248,safety;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,how to cut food for baby,us,🇺🇸 United States,Feature: guia de cortes seguros por idade,2026-08-06,174,,5,21,248,safety;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,choking prevention baby,us,🇺🇸 United States,Feature: preparo seguro anti-engasgo,2026-08-06,OUT,,5,7,248,safety;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby led weaning recipes,us,🇺🇸 United States,Feature: 37 receitas BLW,2026-08-06,20,,5,17,246,recipes;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,blw recipes,us,🇺🇸 United States,Feature: receitas BLW (curto),2026-08-06,30,,5,9,242,recipes;short;own
