App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
BLW Baby Led Weaning Tracker,6758321287,iphone,starting solids,us,🇺🇸 United States,keywords field verbatim,2026-08-06,19,,8,19,78,intro_alimentar;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,weaning,us,🇺🇸 United States,keywords field verbatim,2026-08-06,25,,15,13,243,intro_alimentar;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,puree,us,🇺🇸 United States,keywords field verbatim,2026-08-06,65,,5,13,158,recipes;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,feeding,us,🇺🇸 United States,keywords field verbatim,2026-08-06,OUT,,13,62,239,intro_alimentar;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,recipes,us,🇺🇸 United States,keywords field verbatim,2026-08-06,OUT,,53,70,248,recipes;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,allergen,us,🇺🇸 United States,keywords field verbatim,2026-08-06,OUT,,5,45,249,safety;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,infant,us,🇺🇸 United States,keywords field verbatim,2026-08-06,OUT,,13,47,247,audience;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,toddler,us,🇺🇸 United States,keywords field verbatim,2026-08-06,OUT,,8,79,244,audience;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,nutrition,us,🇺🇸 United States,keywords field verbatim,2026-08-06,OUT,,7,71,249,audience;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,meal plan,us,🇺🇸 United States,keywords field verbatim,2026-08-06,OUT,,27,67,246,recipes;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,6 month,us,🇺🇸 United States,keywords field verbatim,2026-08-06,45,,5,21,137,intro_alimentar;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,blw,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,28,,19,17,245,blw;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby led weaning,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,17,,7,15,247,intro_alimentar;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,weaning tracker,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,5,,5,15,244,tracker;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby led weaning tracker,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,2,,5,50,248,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,blw tracker,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,OUT,,5,19,250,tracker;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,blw baby,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,1,,5,17,242,audience;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,first foods,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,OUT,,5,13,250,intro_alimentar;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,solid starts,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,50,,61,41,129,intro_alimentar;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,solid starts log,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,27,,5,15,147,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,first foods log,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,153,,5,24,248,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby weaning,us,🇺🇸 United States,name/subtitle n-gram,2026-08-06,47,,26,15,249,intro_alimentar;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby led weaning app,us,🇺🇸 United States,cross-field composition (Apple compõe name+subtitle+kw),2026-08-06,100,,27,17,249,intro_alimentar;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,first foods tracker,us,🇺🇸 United States,cross-field composition (Apple compõe name+subtitle+kw),2026-08-06,OUT,,5,15,248,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,solid starts tracker,us,🇺🇸 United States,cross-field composition (Apple compõe name+subtitle+kw),2026-08-06,28,,5,17,248,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,weaning recipes,us,🇺🇸 United States,cross-field composition (Apple compõe name+subtitle+kw),2026-08-06,42,,5,9,242,recipes;short;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby first foods,us,🇺🇸 United States,cross-field composition (Apple compõe name+subtitle+kw),2026-08-06,166,,8,17,247,intro_alimentar;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,starting solids tracker,us,🇺🇸 United States,cross-field composition (Apple compõe name+subtitle+kw),2026-08-06,44,,5,15,248,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,baby food tracker,us,🇺🇸 United States,cross-field composition (Apple compõe name+subtitle+kw),2026-08-06,OUT,,7,54,248,tracker;long;own
BLW Baby Led Weaning Tracker,6758321287,iphone,weaning log,us,🇺🇸 United States,cross-field composition (Apple compõe name+subtitle+kw),2026-08-06,5,,5,13,248,tracker;short;own
