App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
Introdução Alimentar BLW Baby,6758321287,iphone,blw tracker baby led,br,🇧🇷 Brazil,our ASC display name,2026-08-18,1,0,5,5,58,brand;long;own
Introdução Alimentar BLW Baby,6758321287,iphone,blw tracker,br,🇧🇷 Brazil,our exact name brand,2026-08-18,7,-4,5,13,123,brand;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,baby led weaning,br,🇧🇷 Brazil,exact-match for BLW initialism,2026-08-18,17,-5,7,9,236,english;long;competitor
Introdução Alimentar BLW Baby,6758321287,iphone,baby led weaning app,br,🇧🇷 Brazil,,2026-08-18,17,-2,7,9,108,
Introdução Alimentar BLW Baby,6758321287,iphone,starting solids,br,🇧🇷 Brazil,,2026-08-18,18,-2,28,5,92,
Introdução Alimentar BLW Baby,6758321287,iphone,solid starts baby first foods,br,🇧🇷 Brazil,,2026-08-18,20,-2,9,17,101,
Introdução Alimentar BLW Baby,6758321287,iphone,blw meals,br,🇧🇷 Brazil,,2026-08-18,23,0,6,5,103,
Introdução Alimentar BLW Baby,6758321287,iphone,solid start,br,🇧🇷 Brazil,,2026-08-18,31,-9,8,15,115,
Introdução Alimentar BLW Baby,6758321287,iphone,baby first foods,br,🇧🇷 Brazil,EN phase term,2026-08-18,34,0,5,24,171,english;long;competitor
Introdução Alimentar BLW Baby,6758321287,iphone,baby food tracker,br,🇧🇷 Brazil,EN tool intent,2026-08-18,62,-9,5,42,241,english;long;own
Introdução Alimentar BLW Baby,6758321287,iphone,baby food,br,🇧🇷 Brazil,,2026-08-18,68,-8,8,7,233,
Introdução Alimentar BLW Baby,6758321287,iphone,baby tracker,br,🇧🇷 Brazil,,2026-08-18,79,-4,54,46,245,
Introdução Alimentar BLW Baby,6758321287,iphone,led,br,🇧🇷 Brazil,,2026-08-18,81,0,57,23,248,
Introdução Alimentar BLW Baby,6758321287,iphone,baby feeding tracker,br,🇧🇷 Brazil,,2026-08-18,139,-19,36,21,248,
Introdução Alimentar BLW Baby,6758321287,iphone,alimentos,br,🇧🇷 Brazil,,2026-08-18,151,-6,6,48,247,
Introdução Alimentar BLW Baby,6758321287,iphone,nara baby,br,🇧🇷 Brazil,,2026-08-18,161,-48,7,38,246,
Introdução Alimentar BLW Baby,6758321287,iphone,comida,br,🇧🇷 Brazil,1-gram from current subtitle.txt,2026-08-18,OUT,0,59,83,246,food;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,tracker,br,🇧🇷 Brazil,verbatim from current keywords.txt,2026-08-18,OUT,0,43,40,230,tracker;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,alimentação,br,🇧🇷 Brazil,verbatim from current keywords.txt,2026-08-18,OUT,0,27,70,250,food;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,beb,br,🇧🇷 Brazil,verbatim from current keywords.txt,2026-08-18,OUT,0,25,49,235,food;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,diário alimentar,br,🇧🇷 Brazil,,2026-08-18,OUT,0,23,21,249,
Introdução Alimentar BLW Baby,6758321287,iphone,meses diário,br,🇧🇷 Brazil,2-gram from current subtitle.txt,2026-08-18,OUT,0,5,51,74,intro_alimentar;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,comida bebê,br,🇧🇷 Brazil,2-gram from current subtitle.txt,2026-08-18,OUT,0,5,47,238,food;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,primeiro alimento,br,🇧🇷 Brazil,verbatim from current keywords.txt,2026-08-18,OUT,0,5,5,8,intro_alimentar;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,6 meses diário,br,🇧🇷 Brazil,3-gram from current subtitle.txt,2026-08-18,OUT,0,5,5,1,intro_alimentar;long;own
Introdução Alimentar BLW Baby,6758321287,iphone,comida bebê 6 meses,br,🇧🇷 Brazil,cross-field composition (Apple substring matching),2026-08-18,OUT,0,5,75,113,intro_alimentar;long;own
Introdução Alimentar BLW Baby,6758321287,iphone,bebê 6,br,🇧🇷 Brazil,2-gram from current subtitle.txt,2026-08-18,OUT,0,5,78,226,food;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,bebê 6 meses,br,🇧🇷 Brazil,3-gram from current subtitle.txt,2026-08-18,OUT,0,5,78,36,intro_alimentar;long;own
Introdução Alimentar BLW Baby,6758321287,iphone,comida bebê 6,br,🇧🇷 Brazil,3-gram from current subtitle.txt,2026-08-18,OUT,0,5,79,69,food;long;own
Introdução Alimentar BLW Baby,6758321287,iphone,diário,br,🇧🇷 Brazil,1-gram from current subtitle.txt,2026-08-18,OUT,0,5,54,246,tracker;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,bebê,br,🇧🇷 Brazil,1-gram from current subtitle.txt,2026-08-18,OUT,0,5,63,243,food;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,receitas bebê,br,🇧🇷 Brazil,verbatim from current keywords.txt,2026-08-18,OUT,0,5,17,243,recipes;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,maternidade,br,🇧🇷 Brazil,verbatim from current keywords.txt,2026-08-18,OUT,0,5,54,248,audience;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,comida saudável,br,🇧🇷 Brazil,verbatim from current keywords.txt,2026-08-18,OUT,0,5,47,244,food;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,tracker bebê,br,🇧🇷 Brazil,EN keyword that ranks in BR,2026-08-18,OUT,0,5,50,242,tracker;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,blw tradicional,br,🇧🇷 Brazil,Pippin description: BLW e tradicional,2026-08-18,OUT,0,5,5,,blw;short;competitor
Introdução Alimentar BLW Baby,6758321287,iphone,acompanhamento bebê,br,🇧🇷 Brazil,tracker intent,2026-08-18,OUT,0,5,56,247,tracker;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,bebê 1 ano,br,🇧🇷 Brazil,end of BLW phase,2026-08-18,OUT,0,5,53,85,intro_alimentar;long;own
Introdução Alimentar BLW Baby,6758321287,iphone,primeira papinha,br,🇧🇷 Brazil,user moment-of-need query,2026-08-18,OUT,0,5,5,2,papinha;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,cardápio infantil,br,🇧🇷 Brazil,Garfinho exact subtitle hint,2026-08-18,OUT,0,5,13,247,recipes;short;competitor
Introdução Alimentar BLW Baby,6758321287,iphone,engasgo bebê,br,🇧🇷 Brazil,common typo/variant of desengasgo,2026-08-18,OUT,0,5,12,3,safety;short;own
Introdução Alimentar BLW Baby,6758321287,iphone,registrar alimentos bebê,br,🇧🇷 Brazil,tracker action — our core feature,2026-08-18,OUT,0,5,11,30,tracker;long;own
Introdução Alimentar BLW Baby,6758321287,iphone,alergia alimentar bebê,br,🇧🇷 Brazil,high-emotion mom search,2026-08-18,OUT,0,5,11,47,safety;long;own
Introdução Alimentar BLW Baby,6758321287,iphone,intolerância alimentar bebê,br,🇧🇷 Brazil,related medical concern,2026-08-18,OUT,0,5,5,11,safety;long;own
