App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
Introdução Alimentar BLW Baby,6758321287,iphone,starting solids,br,🇧🇷 Brazil,"[solid] get_keyword_suggestions(app, br) | all-field-tokens",2026-08-18,18,-2,28,5,92,mined;solid;short
Introdução Alimentar BLW Baby,6758321287,iphone,weaning,br,🇧🇷 Brazil,"[weaning] get_keyword_suggestions(app, br) | all-field-tokens",2026-08-18,18,-5,16,5,236,mined;weaning;short
Introdução Alimentar BLW Baby,6758321287,iphone,baby led weaning,br,🇧🇷 Brazil,"[weaning] get_keyword_suggestions(app, br) | needs:led",2026-08-18,17,-5,7,9,236,mined;weaning;long
Introdução Alimentar BLW Baby,6758321287,iphone,baby weaning,br,🇧🇷 Brazil,"[weaning] get_keyword_suggestions(app, br) | all-field-tokens",2026-08-18,24,-5,25,5,240,mined;weaning;short
Introdução Alimentar BLW Baby,6758321287,iphone,solid starts baby first foods,br,🇧🇷 Brazil,"[baby] get_keyword_suggestions(app, br) | needs:first+foods",2026-08-18,20,-2,9,17,101,mined;baby;long
Introdução Alimentar BLW Baby,6758321287,iphone,baby food,br,🇧🇷 Brazil,"[baby] get_keyword_suggestions(app, br) | needs:food",2026-08-18,68,-8,8,7,233,mined;baby;short
Introdução Alimentar BLW Baby,6758321287,iphone,baby led weaning app,br,🇧🇷 Brazil,"[weaning] get_keyword_suggestions(app, br) | needs:led+app",2026-08-18,17,-2,7,9,108,mined;weaning;long
Introdução Alimentar BLW Baby,6758321287,iphone,baby tracker,br,🇧🇷 Brazil,"[baby] get_keyword_suggestions(app, br) | needs:tracker",2026-08-18,79,-4,54,46,245,mined;baby;short
Introdução Alimentar BLW Baby,6758321287,iphone,blw,br,🇧🇷 Brazil,"[blw] get_keyword_suggestions(app, br) | all-field-tokens",2026-08-18,37,-1,48,19,208,mined;blw;short
Introdução Alimentar BLW Baby,6758321287,iphone,blw meals,br,🇧🇷 Brazil,"[blw] get_keyword_suggestions(app, br) | needs:meals",2026-08-18,23,0,6,5,103,mined;blw;short
Introdução Alimentar BLW Baby,6758321287,iphone,solid starts,br,🇧🇷 Brazil,"[solid] get_keyword_suggestions(app, br) | all-field-tokens",2026-08-18,68,-1,50,5,128,mined;solid;short
Introdução Alimentar BLW Baby,6758321287,iphone,solid start,br,🇧🇷 Brazil,"[solid] get_keyword_suggestions(app, br) | needs:start",2026-08-18,31,-9,8,15,115,mined;solid;short
Introdução Alimentar BLW Baby,6758321287,iphone,introducao alimentar,br,🇧🇷 Brazil,"[introdução] get_keyword_suggestions(app, br) | all-field-tokens",2026-08-18,34,-15,40,19,60,mined;introdução;short
Introdução Alimentar BLW Baby,6758321287,iphone,blw brasil,br,🇧🇷 Brazil,"[blw] extract_competitors_keywords('blw', br) pop=56 | needs:brasil",2026-08-18,OUT,0,56,38,32,mined;blw;short
