App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
Alimentación Complementaria,6758321287,iphone,blw,es,🇪🇸 Spain,"[blw] get_keyword_suggestions(app, es) | all-field-tokens",2026-08-18,46,0,47,9,213,mined;blw;short
Alimentación Complementaria,6758321287,iphone,baby led weaning app,es,🇪🇸 Spain,"[weaning] get_keyword_suggestions(app, es) | needs:app",2026-08-18,16,0,7,7,107,mined;weaning;long
Alimentación Complementaria,6758321287,iphone,baby weaning,es,🇪🇸 Spain,"[weaning] get_keyword_suggestions(app, es) | all-field-tokens",2026-08-18,18,0,25,7,212,mined;weaning;short
Alimentación Complementaria,6758321287,iphone,baby led weaning,es,🇪🇸 Spain,"[weaning] get_keyword_suggestions(app, es) | all-field-tokens",2026-08-18,22,0,7,9,218,mined;weaning;long
Alimentación Complementaria,6758321287,iphone,weaning,es,🇪🇸 Spain,"[weaning] get_keyword_suggestions(app, es) | all-field-tokens",2026-08-18,14,0,16,7,219,mined;weaning;short
Alimentación Complementaria,6758321287,iphone,alimentacion,es,🇪🇸 Spain,"[alimentación] get_keyword_suggestions(app, es) | all-field-tokens",2026-08-18,72,0,12,49,215,mined;alimentación;short
Alimentación Complementaria,6758321287,iphone,blw meals,es,🇪🇸 Spain,"[blw] get_keyword_suggestions(app, es) | needs:meals",2026-08-18,26,0,6,7,99,mined;blw;short
Alimentación Complementaria,6758321287,iphone,alimentacion complementaria,es,🇪🇸 Spain,"[alimentación] get_keyword_suggestions(app, es) | all-field-tokens",2026-08-18,8,0,7,11,32,mined;alimentación;short
Alimentación Complementaria,6758321287,iphone,alimentación complementaria,es,🇪🇸 Spain,"[alimentación] get_keyword_suggestions(app, es) | all-field-tokens",2026-08-18,4,0,6,11,31,mined;alimentación;short
Alimentación Complementaria,6758321287,iphone,blw ideas,es,🇪🇸 Spain,"[blw] extract_competitors_keywords('blw', es) pop=54 | needs:ideas",2026-08-18,OUT,0,54,11,38,mined;blw;short
Alimentación Complementaria,6758321287,iphone,bebes,es,🇪🇸 Spain,"[bebé] extract_competitors_keywords('blw', es) pop=33 | needs:bebes",2026-08-18,OUT,0,33,53,193,mined;bebé;short
Alimentación Complementaria,6758321287,iphone,bebé,es,🇪🇸 Spain,"[bebé] extract_competitors_keywords('blw', es) pop=18 | all-field-tokens",2026-08-18,OUT,0,18,54,227,mined;bebé;short
Alimentación Complementaria,6758321287,iphone,bebés,es,🇪🇸 Spain,"[bebé] extract_competitors_keywords('alimentación complementaria', es) pop=11 | needs:bebes",2026-08-18,OUT,0,11,53,220,mined;bebé;short
Alimentación Complementaria,6758321287,iphone,alimentación complementaria bebé,es,🇪🇸 Spain,[alimentación] composição natural es: head + bebé | all-field-tokens,2026-08-18,2,0,5,7,17,mined;alimentación;long
Alimentación Complementaria,6758321287,iphone,app alimentación complementaria,es,🇪🇸 Spain,[alimentación] composição natural es: app de X | needs:app,2026-08-18,3,0,5,7,22,mined;alimentación;long
Alimentación Complementaria,6758321287,iphone,alimentación complementaria 6 meses,es,🇪🇸 Spain,[alimentación] composição natural es: head + idade | needs:6+meses,2026-08-18,OUT,0,5,5,3,mined;alimentación;long
Alimentación Complementaria,6758321287,iphone,guía alimentación complementaria,es,🇪🇸 Spain,[alimentación] composição natural es: guía de X | needs:guia,2026-08-18,OUT,0,5,5,4,mined;alimentación;long
Alimentación Complementaria,6758321287,iphone,alimentación complementaria recetas,es,🇪🇸 Spain,[alimentación] composição natural es: head + recetas | all-field-tokens,2026-08-18,2,0,5,7,14,mined;alimentación;long
Alimentación Complementaria,6758321287,iphone,alimentación infantil,es,🇪🇸 Spain,[alimentación] composição natural es: termo corrente (subtitle WISERAPPS 'BLW y Alimentación Infantil') | needs:infantil,2026-08-18,OUT,0,5,5,10,mined;alimentación;short
Alimentación Complementaria,6758321287,iphone,blw recetas,es,🇪🇸 Spain,[blw] composição natural es: blw + recetas | all-field-tokens,2026-08-18,11,0,5,11,33,mined;blw;short
Alimentación Complementaria,6758321287,iphone,método blw,es,🇪🇸 Spain,[blw] composição natural es: método BLW | needs:metodo,2026-08-18,OUT,0,5,5,1,mined;blw;short
