App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
BLW Baby Led Weaning Tracker,6758321287,iphone,baby weaning,us,🇺🇸 United States,"[weaning] get_keyword_suggestions(app, us) | all-field-tokens",2026-08-18,22,3,26,17,249,mined;weaning;short
BLW Baby Led Weaning Tracker,6758321287,iphone,start solids,us,🇺🇸 United States,"[solids] get_keyword_suggestions(app, us) | needs:start",2026-08-18,71,9,6,17,134,mined;solids;short
BLW Baby Led Weaning Tracker,6758321287,iphone,starting solids,us,🇺🇸 United States,"[solids] get_keyword_suggestions(app, us) | all-field-tokens",2026-08-18,22,-3,29,19,84,mined;solids;short
BLW Baby Led Weaning Tracker,6758321287,iphone,solid starts,us,🇺🇸 United States,"[solids] get_keyword_suggestions(app, us) | all-field-tokens",2026-08-18,49,-5,61,41,137,mined;solids;short
BLW Baby Led Weaning Tracker,6758321287,iphone,baby first foods,us,🇺🇸 United States,"[first] get_keyword_suggestions(app, us) | all-field-tokens",2026-08-18,141,19,8,15,247,mined;first;long
BLW Baby Led Weaning Tracker,6758321287,iphone,solid starts free,us,🇺🇸 United States,"[solids] get_keyword_suggestions(app, us) | needs:free",2026-08-18,74,0,6,21,135,mined;solids;long
BLW Baby Led Weaning Tracker,6758321287,iphone,baby led weaning,us,🇺🇸 United States,"[weaning] get_keyword_suggestions(app, us) | all-field-tokens",2026-08-18,16,2,9,15,247,mined;weaning;long
BLW Baby Led Weaning Tracker,6758321287,iphone,weaning,us,🇺🇸 United States,"[weaning] get_keyword_suggestions(app, us) | all-field-tokens",2026-08-18,4,0,14,13,243,mined;weaning;short
BLW Baby Led Weaning Tracker,6758321287,iphone,baby weaning and recipes,us,🇺🇸 United States,"[weaning] get_keyword_suggestions(app, us) | needs:and",2026-08-18,34,0,6,19,247,mined;weaning;long
BLW Baby Led Weaning Tracker,6758321287,iphone,solid start,us,🇺🇸 United States,"[solids] get_keyword_suggestions(app, us) | needs:start",2026-08-18,79,-1,9,17,136,mined;solids;short
BLW Baby Led Weaning Tracker,6758321287,iphone,solid starts baby first foods,us,🇺🇸 United States,"[first] get_keyword_suggestions(app, us) | all-field-tokens",2026-08-18,64,-6,6,17,248,mined;first;long
BLW Baby Led Weaning Tracker,6758321287,iphone,babyplate starting solids,us,🇺🇸 United States,"[solids] get_keyword_suggestions(app, us) | needs:babyplate",2026-08-18,115,0,8,19,250,mined;solids;long
