App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
BLW Baby Introdução Alimentar,6758321287,iphone,blw baby,br,🇧🇷 Brazil,2-gram from current name.txt,2026-08-19T12:55:55Z,1,0,5,13,172,blw;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,papinha caseira,br,🇧🇷 Brazil,differentiates from industrial papinhas,2026-08-19T12:56:35Z,1,0,5,5,1,papinha;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,desengasgo,br,🇧🇷 Brazil,"""Mundo BLW exclusive — possibly gold (low comp",2026-08-19T12:56:47Z,1,0,5,5,1,
BLW Baby Introdução Alimentar,6758321287,iphone,cortes seguros,br,🇧🇷 Brazil,Mundo BLW differentiator,2026-08-19T12:57:05Z,2,0,5,8,6,safety;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,papinha,br,🇧🇷 Brazil,"""head term",2026-08-19T12:57:14Z,2,0,5,5,57,
BLW Baby Introdução Alimentar,6758321287,iphone,blw 6 meses,br,🇧🇷 Brazil,,2026-08-19T15:13:57Z,2,1,5,5,3,
BLW Baby Introdução Alimentar,6758321287,iphone,blw baby introdução,br,🇧🇷 Brazil,3-gram from current name.txt,2026-08-19T12:55:36Z,3,0,5,9,24,blw;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar 6 meses,br,🇧🇷 Brazil,phase-specific long-tail,2026-08-19T12:56:18Z,3,0,5,5,5,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,papinha 6 meses,br,🇧🇷 Brazil,BR-specific phrase,2026-08-19T12:56:59Z,3,0,5,5,3,papinha;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,blw cortes,br,🇧🇷 Brazil,Mundo BLW: cortes corretos e seguros,2026-08-19T12:57:05Z,3,0,5,31,3,blw;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,receitas 6 meses,br,🇧🇷 Brazil,age + recipe combo,2026-08-19T12:57:14Z,3,0,5,5,8,recipes;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar blw,br,🇧🇷 Brazil,cross-field composition (Apple substring matching),2026-08-19T12:56:13Z,4,0,5,11,29,blw;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,receitas papinha,br,🇧🇷 Brazil,expanded form,2026-08-19T12:56:19Z,5,0,5,5,18,recipes;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar receitas,br,🇧🇷 Brazil,,2026-08-19T15:13:34Z,5,1,5,11,20,
BLW Baby Introdução Alimentar,6758321287,iphone,receitas introdução alimentar,br,🇧🇷 Brazil,,2026-08-19T15:14:25Z,5,1,5,11,20,
BLW Baby Introdução Alimentar,6758321287,iphone,baby introdução alimentar,br,🇧🇷 Brazil,3-gram from current name.txt,2026-08-19T12:55:38Z,6,0,5,9,27,intro_alimentar;long;own
BLW Baby Introdução Alimentar,6758321287,iphone,baby introdução,br,🇧🇷 Brazil,2-gram from current name.txt,2026-08-19T12:55:42Z,7,0,5,9,28,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,blw receitas,br,🇧🇷 Brazil,BLW Brasil description: receitas + cardápios,2026-08-19T12:57:15Z,10,0,5,15,24,blw;short;competitor
BLW Baby Introdução Alimentar,6758321287,iphone,introdução,br,🇧🇷 Brazil,1-gram from current name.txt,2026-08-19T12:56:12Z,13,0,5,13,60,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,weaning,br,🇧🇷 Brazil,,2026-08-19T14:19:05Z,13,0,16,5,236,
BLW Baby Introdução Alimentar,6758321287,iphone,baby weaning,br,🇧🇷 Brazil,,2026-08-19T12:55:19Z,15,0,25,5,241,
BLW Baby Introdução Alimentar,6758321287,iphone,introdução alimentar,br,🇧🇷 Brazil,2-gram from current name.txt,2026-08-19T12:56:01Z,30,0,5,21,59,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,blw,br,🇧🇷 Brazil,,2026-08-19T12:55:11Z,49,0,48,19,209,
BLW Baby Introdução Alimentar,6758321287,iphone,solid starts,br,🇧🇷 Brazil,,2026-08-19T12:55:12Z,59,0,50,9,128,
BLW Baby Introdução Alimentar,6758321287,iphone,alimentar,br,🇧🇷 Brazil,1-gram from current name.txt,2026-08-19T12:55:54Z,162,0,5,55,249,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,6 meses,br,🇧🇷 Brazil,2-gram from current subtitle.txt,2026-08-19T12:55:27Z,183,0,5,90,213,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,meses,br,🇧🇷 Brazil,1-gram from current subtitle.txt,2026-08-19T12:55:45Z,1000,0,5,54,247,intro_alimentar;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,baby,br,🇧🇷 Brazil,1-gram from current name.txt,2026-08-19T12:55:56Z,1000,0,52,57,225,food;short;own
BLW Baby Introdução Alimentar,6758321287,iphone,receitas,br,🇧🇷 Brazil,,2026-08-19T15:17:21Z,1000,0,50,42,247,
