Date	App Name	App Apple Identifier	Event	Page Type	Page Title	Source Type	Source Info	Campaign	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-07-12	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPad	iOS 26.5	ES	7	6
2026-07-14	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	8	8
2026-07-12	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	8	8
2026-07-13	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	17	13
2026-07-12	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	6	6
2026-07-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	22	14
2026-07-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	5	5
2026-07-16	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	5	5
2026-07-16	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	7	7
2026-07-17	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	8	5
2026-07-17	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	8	7
2026-07-18	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	8	8
2026-07-18	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	10	5
2026-07-19	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	10	10
2026-07-21	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	7	7
2026-07-22	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	17	12
2026-07-22	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	6	6
2026-07-23	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	15	12
2026-07-23	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	5	5
2026-07-23	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	7	6
2026-07-24	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	16	14
2026-07-24	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	8	6
2026-07-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	GB	5	5
2026-07-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	10	6
2026-07-26	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	13	12
2026-07-26	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	10	8
2026-07-26	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	5	5
2026-07-27	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	15	8
2026-07-27	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	15	14
2026-07-27	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	6	5
